place,detector,method,status,cosine,flux_ratio,dose_ratio_ISO,dose_ratio_ROT,dose_ratio_AP,dose_ref_ISO,dose_unfolded_ISO
t5-33-s.txt_2,PTB,statreg,OK,0.37492566606404826,0.8259550080904384,0.7215324019790177,0.6844168806308949,0.6343225568327319,165.006788502827,119.05774445128853
t5-33-s.txt_2,PTB,tsvd,OK,0.28049842989792545,0.6328326855830294,0.23130786992440094,0.25148181627046184,0.31231768179059105,165.006788502827,38.16736877165504
t5-33-s.txt_2,PTB,bayes,OK,0.4257121556987086,1.2637547241789113,1.8421173983196262,1.6813793214829433,1.391998606043562,165.006788502827,303.96187594190445
t5-33-s.txt_2,LANL,landweber,OK,0.46706201810086284,0.882536435979238,0.8988817996518377,0.8660006288483798,0.8138906204306764,165.006788502827,148.32159900419128
t5-33-s.txt_2,LANL,mlem,OK,0.09549211030240362,4.84639354772638,4.896023756602683,5.306325765001517,6.514197115768288,165.006788502827,807.8771565105554
t5-33-s.txt_2,LANL,kaczmarz,OK,0.476702208809039,0.9103847702453245,0.9376594830566615,0.9056866826160923,0.8524114148148892,165.006788502827,154.72018000840063
t5-33-s.txt_2,LANL,cvxpy,OK,0.781236172466235,0.92240762662431,0.9794754007135618,0.9672906047104365,0.947040575707,165.006788502827,161.6200902892644
t5-33-s.txt_2,LANL,qpsolvers,OK,0.6609448380569447,0.9334670609037921,0.9186996344630999,0.8940274896211935,0.8535385891251839,165.006788502827,151.5916762814772
t5-33-s.txt_2,LANL,statreg,OK,0.28746533294347626,1.691347691787084,1.0111307803934486,0.9775766775686636,0.926862574822387,165.006788502827,166.84344282908017
t5-33-s.txt_2,LANL,tsvd,OK,0.6672826907672815,1.000495988845404,1.0337849680780673,1.0184118428102293,0.9958818286970896,165.006788502827,170.5815375850594
t5-33-s.txt_2,LANL,bayes,OK,0.5682271315772573,1.0127378227155046,0.9409218996566254,0.9108116726434652,0.8626153599477017,165.006788502827,155.25850089431898
t5-33-s.txt_3,GSF,landweber,OK,0.7690149149705007,0.9815099529415471,0.836147240165244,0.8592509463087392,0.9105053159190456,89.08231486365248,74.48593172077432
t5-33-s.txt_3,GSF,mlem,OK,0.2435669649195891,0.40628392905800415,0.6162656321297459,0.6401531762152833,0.7098993636980945,89.08231486365248,54.89836908102986
t5-33-s.txt_3,GSF,kaczmarz,OK,0.7682089787897712,1.0123957890154751,0.9083432984812037,0.9208843654886085,0.9445368151073098,89.08231486365248,80.91732371959125
t5-33-s.txt_3,GSF,cvxpy,OK,0.8188086996706239,0.9864384347063503,0.9167327282103629,0.9319755983887925,0.9603545672003929,89.08231486365248,81.6646735402507
t5-33-s.txt_3,GSF,qpsolvers,OK,0.7753581590071362,0.9856579502693196,0.8673646124063851,0.8870514467425487,0.9289539503329323,89.08231486365248,77.2668475039755
t5-33-s.txt_3,GSF,statreg,OK,0.8014331574402289,1.0323670565842185,0.9144678312160301,0.930737933853526,0.9608989501629921,89.08231486365248,81.46291127306782
t5-33-s.txt_3,GSF,tsvd,OK,0.7835229382439712,1.015398798543002,0.9524837712139872,0.961797467329201,0.9810350018093823,89.08231486365248,84.84945920980354
t5-33-s.txt_3,GSF,bayes,OK,0.7109863811019761,1.1586003152517472,1.581473883875962,1.4796369635448998,1.2942523842870597,89.08231486365248,140.88135447208185
t5-33-s.txt_3,PTB,landweber,OK,0.7522313371315646,0.9629594651007867,0.7843062907089701,0.8124828173077264,0.87609104795747,89.08231486365248,69.86781993847983
t5-33-s.txt_3,PTB,mlem,OK,0.21292233882856695,7.693782899406091,8.801521765888308,9.187958908355629,10.380852483481721,89.08231486365248,784.0599332281529
t5-33-s.txt_3,PTB,kaczmarz,OK,0.7506337300253357,0.9618418284452736,0.795608356786596,0.8191878587275873,0.8662972431200527,89.08231486365248,70.87463414741671
t5-33-s.txt_3,PTB,cvxpy,OK,0.8406275142158453,0.9686402051454834,0.8438166155878374,0.8662995463859124,0.9118992640279288,89.08231486365248,75.16913743697734
t5-33-s.txt_3,PTB,qpsolvers,OK,0.7793697180893191,0.9741849508264032,0.8343432893083539,0.857106638322858,0.9056405392922018,89.08231486365248,74.32523160254227
t5-33-s.txt_3,PTB,statreg,OK,0.7600097357299578,1.212725827119237,1.8810537646687309,1.7208644304067482,1.4295734173767742,89.08231486365248,167.56862373967874
t5-33-s.txt_3,PTB,tsvd,OK,0.7688874622543711,1.01980504397805,0.8099828864023405,0.8348355974101467,0.8872763387491027,89.08231486365248,72.15515052066335
t5-33-s.txt_3,PTB,bayes,OK,0.4218767631271892,1.9891432529532007,6.268075257811465,5.389034792300748,3.746850799790122,89.08231486365248,558.3746537054307
t5-33-s.txt_3,LANL,landweber,OK,0.8062654046539586,0.9877213751588254,0.9474803114159854,0.9472577318679939,0.9513992740432019,89.08231486365248,84.40373942867032
t5-33-s.txt_3,LANL,mlem,OK,0.40570328693265384,6.530187532203021,8.79712004805769,9.186867136775762,10.281206278680836,89.08231486365248,783.6678180144248
t5-33-s.txt_3,LANL,kaczmarz,OK,0.7882963408232735,0.9822924763903685,0.9497428018166766,0.946247223823925,0.943419699838062,89.08231486365248,84.60528731092069
t5-33-s.txt_3,LANL,cvxpy,OK,0.8496420293541246,0.9817504800523653,0.9580494900242824,0.9579517638994849,0.9594150337649642,89.08231486365248,85.34526632530482
t5-33-s.txt_3,LANL,qpsolvers,OK,0.8539399893876385,1.0194043377287856,0.9595170163517454,0.9591783669575039,0.9604919193042906,89.08231486365248,85.47599696767857
t5-33-s.txt_3,LANL,statreg,OK,0.7209266256652047,1.2178388405345897,0.962663015281104,0.9613669756932731,0.9618398513135558,89.08231486365248,85.7562498348644
t5-33-s.txt_3,LANL,tsvd,OK,0.8272787992545676,1.0126346517590656,0.9908792579979304,0.9860758716726398,0.9788264414355952,89.08231486365248,88.26981805283398
t5-33-s.txt_3,LANL,bayes,OK,0.3491139359866256,1.4784733484596484,0.9575435676999307,0.9656295834945752,0.9774885612628946,89.08231486365248,85.30019759351036
t5-33-s.txt_4,GSF,landweber,OK,0.7791532668787298,0.8035414255305399,0.5061207510614584,0.5477210928954999,0.6427635405067251,157.08744773312742,79.50521702901804
t5-33-s.txt_4,GSF,mlem,OK,0.18522073497414573,0.319194638746685,0.2605135157244663,0.29420338778683724,0.39334928272451875,157.08744773312742,40.92340328514037
t5-33-s.txt_4,GSF,kaczmarz,OK,0.7980611618127205,0.8391011900894075,0.5677701429510084,0.6061233592748458,0.6902540126569002,157.08744773312742,89.1895626552468
t5-33-s.txt_4,GSF,cvxpy,OK,0.8317093252450889,0.8584247235618983,0.6449404518812051,0.6789565897488999,0.7564774667669845,157.08744773312742,101.31204952586837
t5-33-s.txt_4,GSF,qpsolvers,OK,0.7853076703707271,0.8051627138688999,0.5132237107223654,0.5543202149335509,0.6480811365894014,157.08744773312742,80.62100283350128
t5-33-s.txt_4,GSF,statreg,OK,0.7693906018866474,1.2010639029907388,1.6404891497535492,1.5554047255916386,1.3738826205935462,157.08744773312742,257.7002535686733
t5-33-s.txt_4,GSF,tsvd,OK,0.7813655563946659,0.8217683471018,0.5292947054154162,0.570086077308753,0.6614877231182997,157.08744773312742,83.14555437236527
t5-33-s.txt_4,GSF,bayes,OK,0.6529935887361403,1.2636632067108893,1.5593962291809407,1.512266439784613,1.4054920259631065,157.08744773312742,244.961573646697
t5-33-s.txt_4,PTB,landweber,OK,0.737120662074784,0.7355368678379544,0.3622344156313053,0.4026897290977385,0.505070903642049,157.08744773312742,56.90247983262263
t5-33-s.txt_4,PTB,mlem,OK,0.25041791794408386,5.7641344372820456,3.077214082224581,3.5111936976335696,4.9013080111641525,157.08744773312742,483.39170630509756
t5-33-s.txt_4,PTB,kaczmarz,OK,0.7358488277847379,0.7366419317992072,0.36116336470417887,0.40130582531222087,0.5025308301294673,157.08744773312742,56.73423117608814
t5-33-s.txt_4,PTB,cvxpy,OK,0.7522249807459428,0.7354848414012577,0.364611824818251,0.4050510467416935,0.5074726034041761,157.08744773312742,57.27594097401721
t5-33-s.txt_4,PTB,qpsolvers,OK,0.738224337404659,0.7351395039990292,0.3632499171456784,0.4036582522364284,0.5059339616262256,157.08744773312742,57.06200237368462
t5-33-s.txt_4,PTB,statreg,OK,0.7320777211459133,0.7340976214446558,0.3657748362122528,0.40630465150629264,0.5085483297169653,157.08744773312742,57.45863546558551
t5-33-s.txt_4,PTB,tsvd,OK,0.730455554956786,0.7437741581176632,0.37958397328549626,0.4199267251950651,0.5179868148449625,157.08744773312742,59.62787756381823
t5-33-s.txt_4,PTB,bayes,OK,0.7841308126939904,1.5118981326877512,2.3866709820302625,2.2502022088516207,1.9398882352473346,157.08744773312742,374.91605314585075
t5-33-s.txt_4,LANL,landweber,OK,0.8649166753122902,0.9724118680796292,0.9326201938777223,0.9312750738934626,0.9296578055975405,157.08744773312742,146.50292596062587
t5-33-s.txt_4,LANL,mlem,OK,0.42267844892642803,5.816277750847105,5.508056351016628,6.171119032884453,7.9570854932455255,157.08744773312742,865.2465141514451
t5-33-s.txt_4,LANL,kaczmarz,OK,0.878499640259153,0.9794152340986494,0.9475826971527158,0.9518653396240542,0.9567903207611199,157.08744773312742,148.85334741179315
t5-33-s.txt_4,LANL,cvxpy,OK,0.9147825190065577,1.0098880111701676,0.9833404132371614,0.9840860693025627,0.9870145270103581,157.08744773312742,154.4704357682645
t5-33-s.txt_4,LANL,qpsolvers,OK,0.8984647023340245,1.0172424403308185,0.9659059056257863,0.9659458187617681,0.9665569143423327,157.08744773312742,151.7316934651098
t5-33-s.txt_4,LANL,statreg,OK,0.9086374108251639,1.0920430613925034,0.9881676594334635,0.9914474177688418,0.9950667105857628,157.08744773312742,155.22873555282106
t5-33-s.txt_4,LANL,tsvd,OK,0.8534069967998169,0.978143250685137,0.9315459287269643,0.9306149786108804,0.9285064110363432,157.08744773312742,146.33417238990464
t5-33-s.txt_4,LANL,bayes,OK,0.20534282575145338,1.7253466792137742,0.9567885852474431,0.9665418969668108,0.9816743344114134,157.08744773312742,150.29947687671066
t5-33-s.txt_5,GSF,landweber,OK,0.7122750469843377,0.7729123452610358,0.4752547940383268,0.5134105271582922,0.5995885174783138,173.7648188895551,82.58256321246267
t5-33-s.txt_5,GSF,mlem,OK,0.31727921758147054,0.28627820565330914,0.21519219484945112,0.24306487660123713,0.32184803484149604,173.7648188895551,37.39283276446073
